City,YEAR,MONTH,Air Pollutant #1
Leamington Spa Rugby Road,2024,7,9.0
Leamington Spa Rugby Road,2024,8,7.0
Leamington Spa Rugby Road,2024,10,6.0
Leamington Spa Rugby Road,2024,11,12.0
Leamington Spa Rugby Road,2024,12,9.0
Leamington Spa Rugby Road,2025,1,12.0
Leamington Spa Rugby Road,2025,2,15.0
Leamington Spa Rugby Road,2025,3,11.0
Leamington Spa Rugby Road,2025,4,19.0
Leamington Spa Rugby Road,2025,5,10.0
Leamington Spa Rugby Road,2025,6,9.0
MIDDLESBROUGH,2024,1,11.0
MIDDLESBROUGH,2024,2,12.0
MIDDLESBROUGH,2024,3,16.0
MIDDLESBROUGH,2024,4,13.0
MIDDLESBROUGH,2024,5,17.0
MIDDLESBROUGH,2024,6,13.0
MIDDLESBROUGH,2024,7,11.0
MIDDLESBROUGH,2024,8,8.0
MIDDLESBROUGH,2024,9,9.0
MIDDLESBROUGH,2024,10,11.0
MIDDLESBROUGH,2024,11,17.0
MIDDLESBROUGH,2024,12,13.0
MIDDLESBROUGH,2025,1,13.0
MIDDLESBROUGH,2025,2,21.0
MIDDLESBROUGH,2025,3,12.0
MIDDLESBROUGH,2025,4,25.0
MIDDLESBROUGH,2025,5,14.0
MIDDLESBROUGH,2025,6,12.0
MIDDLESBROUGH,2025,7,15.0
MIDDLESBROUGH,2025,8,15.0
MIDDLESBROUGH,2025,9,13.0
MIDDLESBROUGH,2025,10,12.0
MIDDLESBROUGH,2025,11,14.0
MIDDLESBROUGH,2025,12,11.0
NEWCASTLE UPON TYNE,2024,1,9.0
NEWCASTLE UPON TYNE,2024,2,10.0
NEWCASTLE UPON TYNE,2024,3,15.0
NEWCASTLE UPON TYNE,2024,4,13.0
NEWCASTLE UPON TYNE,2024,5,13.0
NEWCASTLE UPON TYNE,2024,6,9.0
NEWCASTLE UPON TYNE,2024,7,8.0
NEWCASTLE UPON TYNE,2024,8,6.0
NEWCASTLE UPON TYNE,2024,9,7.0
NEWCASTLE UPON TYNE,2024,10,9.0
NEWCASTLE UPON TYNE,2024,11,16.0
NEWCASTLE UPON TYNE,2024,12,14.0
NEWCASTLE UPON TYNE,2025,1,12.0
NEWCASTLE UPON TYNE,2025,2,40.0
NEWCASTLE UPON TYNE,2025,3,11.0
NEWCASTLE UPON TYNE,2025,4,20.0
NEWCASTLE UPON TYNE,2025,5,10.0
NEWCASTLE UPON TYNE,2025,6,11.0
NEWCASTLE UPON TYNE,2025,7,11.0
NEWCASTLE UPON TYNE,2025,8,10.0
NEWCASTLE UPON TYNE,2025,9,9.0
NEWCASTLE UPON TYNE,2025,10,10.0
NEWCASTLE UPON TYNE,2025,11,10.0
NEWCASTLE UPON TYNE,2025,12,10.0
NORWICH,2024,1,10.0
NORWICH,2024,2,12.0
NORWICH,2024,3,17.0
NORWICH,2024,4,16.0
NORWICH,2024,5,16.0
NORWICH,2024,6,11.0
NORWICH,2024,7,12.0
NORWICH,2024,8,9.0
NORWICH,2024,9,10.0
NORWICH,2024,10,11.0
NORWICH,2024,11,13.0
NORWICH,2024,12,10.0
NORWICH,2025,1,13.0
